Title,Author,Genre,Height,Publisher
History of the DC Universe,,comic,258,
Machine Learning for Hackers,"Conway, Drew",tech,233,O'Reilly
Animal Farm,"Orwell, George",fiction,180,
Broca's Brain,"Sagan, Carl",science,174,
Free Will,"Harris, Sam",philosophy,203,
India's Legal System,Nariman,nonfiction,177,
Dongri to Dubai,"Zaidi, Hussain",nonfiction,216,
Mein Kampf,"Hitler, Adolf",nonfiction,212,
Structure and Randomness,"Tao, Terence",science,252,
Half A Life,"Naipaul, V S",fiction,196,
"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",fiction,176,Random House
Beyond the Three Seas,"Dalrymple, William",history,197,
Structure & Interpretation of Computer Programs,"Sussman, Gerald",tech,240,
Introduction to Algorithms,"Cormen, Thomas",computer_science,234,MIT Press
Data Analysis with Open Source Tools,"Janert, Phillip",data_science,230,
Char Shabda,"Deshpande, P L",nonfiction,214,
"Idea of Justice, The","Sen, Amartya",nonfiction,212,
"Age of the Warrior, The","Fisk, Robert",nonfiction,197,
"Hidden Connections, The","Capra, Fritjof",science,197,HarperCollins
"Courtroom Genius, The",Sorabjee,nonfiction,217,
Girl who played with Fire,"Larsson, Steig",fiction,179,
"Devil's Advocate, The","West, Morris",fiction,178,
More Tears to Cry,"Sassoon, Jean",fiction,235,
"Idea of Justice, The","Sen, Amartya",philosophy,212,
"Theory of Everything, The","Hawking, Stephen",science,217,
Learning OpenCV,"Bradsky, Gary",data_science,232,O'Reilly
"Life in Letters, A","Steinbeck, John",nonfiction,196,
Python for Data Analysis,"McKinney, Wes",tech,233,O'Reilly
"Signal and the Noise, The","Silver, Nate",tech,233,Penguin
God Created the Integers,"Hawking, Stephen",mathematics,197,Penguin
"Age of Discontuinity, The","Drucker, Peter",nonfiction,178,Random House
Rosy is My Relative,"Durrell, Gerald",fiction,176,
Gun Gayin Awadi,"Deshpande, P L",nonfiction,212,
More Tears to Cry,"Sassoon, Jean",fiction,235,
"Raisin in the Sun, A","Hansberry, Lorraine",fiction,175,Penguin
"Analysis, Vol I","Tao, Terence",mathematics,248,HBA
Tales of Beedle the Bard,"Rowling, J K",fiction,184,
India's Legal System,Nariman,nonfiction,177,
Doctor in the Nude,"Gordon, Richard",fiction,179,Penguin
Girl who kicked the Hornet's Nest,"Larsson, Steig",fiction,179,
Statistical Learning Theory,"Vapnik, Vladimir",tech,228,
"Deceiver, The","Forsyth, Frederick",fiction,178,
"World's Greatest Trials, The",,nonfiction,210,
Beyond the Three Seas,"Dalrymple, William",history,197,Random House
Murphy's Law,,philosophy,178,
Unpopular Essays,"Russell, Bertrand",philosophy,198,
"Ropemaker, The","Dickinson, Peter",fiction,196,
Design with OpAmps,"Franco, Sergio",tech,240,
Free Will,"Harris, Sam",nonfiction,203,
"Journal of Economics, vol 106 No 3",,science,235,
"Trembling of a Leaf, The","Maugham, William S",fiction,205,
"Courtroom Genius, The",Sorabjee,nonfiction,217,
Image Processing & Mathematical Morphology,"Shih, Frank",tech,241,
We the Nation,Palkhivala,philosophy,216,
Tales of Mystery and Imagination,"Poe, Edgar Allen",fiction,172,HarperCollins
Rosy is My Relative,"Durrell, Gerald",fiction,176,
Maqta-e-Ghalib,"Garg, Sanjay",nonfiction,221,
Textbook of Economic Theory,"Stonier, Alfred",tech,242,Pearson
Angels & Demons,"Brown, Dan",fiction,170,
Justice League: The Villain's Journey,,fiction,258,
Angels & Demons,"Brown, Dan",fiction,178,Random House
Physics & Philosophy,"Heisenberg, Werner",science,197,
"Raisin in the Sun, A","Hansberry, Lorraine",fiction,175,Penguin
Unpopular Essays,"Russell, Bertrand",philosophy,198,
"Deceiver, The","Forsyth, Frederick",fiction,178,
Identity & Violence,"Sen, Amartya",philosophy,219,
Structure & Interpretation of Computer Programs,"Sussman, Gerald",tech,240,MIT Press
Let Us C,"Kanetkar, Yashwant",computer_science,213,
New Markets & Other Essays,"Drucker, Peter",science,176,
False Impressions,"Archer, Jeffery",fiction,177,
"Complete Mastermind, The",BBC,nonfiction,178,
Burning Bright,"Steinbeck, John",fiction,175,
Electric Universe,"Bodanis, David",science,201,
In a Free State,"Naipaul, V. S.",fiction,196,Rupa
Philosophy: Who Needs It,"Rand, Ayn",philosophy,171,
O Jerusalem!,"Lapierre, Dominique",nonfiction,217,
Textbook of Economic Theory,"Stonier, Alfred",economics,242,
"Argumentative Indian, The","Sen, Amartya",nonfiction,209,
Learning OpenCV,"Bradsky, Gary",data_science,232,
Girl who kicked the Hornet's Nest,"Larsson, Steig",fiction,179,
Beyond Degrees,,philosophy,222,
Pattern Classification,"Duda, Hart",data_science,241,
Girl who played with Fire,"Larsson, Steig",fiction,179,
Girl who played with Fire,"Larsson, Steig",fiction,179,
Char Shabda,"Deshpande, P L",nonfiction,214,
Fundamentals of Wavelets,"Goswami, Jaideva",signal_processing,228,Wiley
"Numbers Behind Numb3rs, The","Devlin, Keith",science,202,
"Prince, The",Machiavelli,fiction,173,
We the Nation,Palkhivala,philosophy,216,
"Signal and the Noise, The","Silver, Nate",data_science,233,
Superman Earth One - 2,,comic,258,
